p_RU,p_UA,observed_RU,observed_UA,corrected_RU,corrected_UA,observed_ratio,corrected_ratio,ratio_still_above_1
0.4,0.4,22980,11154,57450.0,27885.0,2.06,2.06,True
0.4,0.5,22980,11154,57450.0,22308.0,2.06,2.575,True
0.4,0.6,22980,11154,57450.0,18590.0,2.06,3.09,True
0.4,0.7,22980,11154,57450.0,15934.3,2.06,3.605,True
0.4,0.8,22980,11154,57450.0,13942.5,2.06,4.12,True
0.4,0.9,22980,11154,57450.0,12393.3,2.06,4.636,True
0.4,1.0,22980,11154,57450.0,11154.0,2.06,5.151,True
0.5,0.4,22980,11154,45960.0,27885.0,2.06,1.648,True
0.5,0.5,22980,11154,45960.0,22308.0,2.06,2.06,True
0.5,0.6,22980,11154,45960.0,18590.0,2.06,2.472,True
0.5,0.7,22980,11154,45960.0,15934.3,2.06,2.884,True
0.5,0.8,22980,11154,45960.0,13942.5,2.06,3.296,True
0.5,0.9,22980,11154,45960.0,12393.3,2.06,3.708,True
0.5,1.0,22980,11154,45960.0,11154.0,2.06,4.12,True
0.6,0.4,22980,11154,38300.0,27885.0,2.06,1.373,True
0.6,0.5,22980,11154,38300.0,22308.0,2.06,1.717,True
0.6,0.6,22980,11154,38300.0,18590.0,2.06,2.06,True
0.6,0.7,22980,11154,38300.0,15934.3,2.06,2.404,True
0.6,0.8,22980,11154,38300.0,13942.5,2.06,2.747,True
0.6,0.9,22980,11154,38300.0,12393.3,2.06,3.09,True
0.6,1.0,22980,11154,38300.0,11154.0,2.06,3.434,True
0.7,0.4,22980,11154,32828.6,27885.0,2.06,1.177,True
0.7,0.5,22980,11154,32828.6,22308.0,2.06,1.472,True
0.7,0.6,22980,11154,32828.6,18590.0,2.06,1.766,True
0.7,0.7,22980,11154,32828.6,15934.3,2.06,2.06,True
0.7,0.8,22980,11154,32828.6,13942.5,2.06,2.355,True
0.7,0.9,22980,11154,32828.6,12393.3,2.06,2.649,True
0.7,1.0,22980,11154,32828.6,11154.0,2.06,2.943,True
0.8,0.4,22980,11154,28725.0,27885.0,2.06,1.03,True
0.8,0.5,22980,11154,28725.0,22308.0,2.06,1.288,True
0.8,0.6,22980,11154,28725.0,18590.0,2.06,1.545,True
0.8,0.7,22980,11154,28725.0,15934.3,2.06,1.803,True
0.8,0.8,22980,11154,28725.0,13942.5,2.06,2.06,True
0.8,0.9,22980,11154,28725.0,12393.3,2.06,2.318,True
0.8,1.0,22980,11154,28725.0,11154.0,2.06,2.575,True
0.9,0.4,22980,11154,25533.3,27885.0,2.06,0.916,False
0.9,0.5,22980,11154,25533.3,22308.0,2.06,1.145,True
0.9,0.6,22980,11154,25533.3,18590.0,2.06,1.373,True
0.9,0.7,22980,11154,25533.3,15934.3,2.06,1.602,True
0.9,0.8,22980,11154,25533.3,13942.5,2.06,1.831,True
0.9,0.9,22980,11154,25533.3,12393.3,2.06,2.06,True
0.9,1.0,22980,11154,25533.3,11154.0,2.06,2.289,True
1.0,0.4,22980,11154,22980.0,27885.0,2.06,0.824,False
1.0,0.5,22980,11154,22980.0,22308.0,2.06,1.03,True
1.0,0.6,22980,11154,22980.0,18590.0,2.06,1.236,True
1.0,0.7,22980,11154,22980.0,15934.3,2.06,1.442,True
1.0,0.8,22980,11154,22980.0,13942.5,2.06,1.648,True
1.0,0.9,22980,11154,22980.0,12393.3,2.06,1.854,True
1.0,1.0,22980,11154,22980.0,11154.0,2.06,2.06,True
